pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms
1,5.0,0.0,10.0,0.0,5.0,0.009389658165949,9.389658165949
2,5.0,0.0,14.0,0.0,9.0,0.016901384698708215,16.901384698708213
3,5.0,0.0,18.0,0.0,13.0,0.02441311123146741,24.413111231467408
4,5.0,0.0,22.0,0.0,17.0,0.031924837764226596,31.924837764226595
5,5.0,0.0,26.0,0.0,21.0,0.039436564296985804,39.43656429698581
6,5.0,0.0,30.0,0.0,25.0,0.046948290829745006,46.948290829745005
7,5.0,0.0,34.0,0.0,29.0,0.054460017362504214,54.46001736250421
8,5.0,0.0,38.0,0.0,33.0,0.0619717438952634,61.9717438952634
9,5.0,0.0,42.0,0.0,37.0,0.06948347042802262,69.48347042802263
10,5.0,0.0,46.0,0.0,41.0,0.0769951969607818,76.9951969607818
11,5.0,0.0,50.0,0.0,45.0,0.08450692349354103,84.50692349354102
12,5.0,0.0,54.0,0.0,49.0,0.09201865002630022,92.01865002630022
13,5.0,0.0,58.0,0.0,53.0,0.09830572986761686,98.30572986761686
14,5.0,0.0,62.0,0.0,57.0,0.09847257710124638,98.47257710124637
15,5.0,0.0,66.0,0.0,61.0,0.09628068158642908,96.28068158642908
16,5.0,0.0,70.0,0.0,65.0,0.0959891115443872,95.9891115443872
17,5.0,0.0,74.0,0.0,69.0,0.0984123725576368,98.4123725576368
18,5.0,0.0,78.0,0.0,73.0,0.10149600903930138,101.49600903930138
19,5.0,0.0,82.0,0.0,77.0,0.10588335379710707,105.88335379710708
20,5.0,0.0,86.0,0.0,81.0,0.1106937866356216,110.6937866356216
21,5.0,0.0,90.0,0.0,85.0,0.11428097882728118,114.28097882728117
22,5.0,0.0,94.0,0.0,89.0,0.11991845155416517,119.91845155416517
23,5.0,0.0,98.0,0.0,93.0,0.12462373076269595,124.62373076269596
24,5.0,0.0,102.0,0.0,97.0,0.13053176459595628,130.53176459595628
25,5.0,0.0,106.0,0.0,101.0,0.1355157907107249,135.5157907107249
26,5.0,0.0,110.0,0.0,105.0,0.14242291033285936,142.42291033285937
27,5.0,0.0,114.0,0.0,109.0,0.14733614182297797,147.33614182297796
28,5.0,0.0,118.0,0.0,113.0,0.15279655915285847,152.79655915285846
29,25.0,0.0,2.0,0.0,23.0,0.043192427563365415,43.19242756336541
30,25.0,0.0,6.0,0.0,19.0,0.0356807010306062,35.6807010306062
31,25.0,0.0,10.0,0.0,15.0,0.02816897449784701,28.16897449784701
32,25.0,0.0,14.0,0.0,11.0,0.020657247965087805,20.657247965087805
33,25.0,0.0,18.0,0.0,7.0,0.013145521432328604,13.145521432328604
34,25.0,0.0,30.0,0.0,5.0,0.009389658165948996,9.389658165948996
35,25.0,0.0,34.0,0.0,9.0,0.0169013846987082,16.901384698708203
36,25.0,0.0,38.0,0.0,13.0,0.02441311123146741,24.413111231467408
37,25.0,0.0,42.0,0.0,17.0,0.0319248377642266,31.924837764226602
38,25.0,0.0,46.0,0.0,21.0,0.03943656429698581,39.436564296985814
39,25.0,0.0,50.0,0.0,25.0,0.04694829082974501,46.94829082974501
40,25.0,0.0,54.0,0.0,29.0,0.054460017362504214,54.46001736250421
41,25.0,0.0,58.0,0.0,33.0,0.061971743895263415,61.971743895263415
42,25.0,0.0,62.0,0.0,37.0,0.06948347042802264,69.48347042802264
43,25.0,0.0,66.0,0.0,41.0,0.07604782876551491,76.04782876551491
44,25.0,0.0,70.0,0.0,45.0,0.07856692941049188,78.56692941049188
45,25.0,0.0,74.0,0.0,49.0,0.08160442681103541,81.60442681103541
46,25.0,0.0,78.0,0.0,53.0,0.08406722401678628,84.06722401678627
47,25.0,0.0,82.0,0.0,57.0,0.0877029407702802,87.7029407702802
48,25.0,0.0,86.0,0.0,61.0,0.09107743357256108,91.07743357256108
49,25.0,0.0,90.0,0.0,65.0,0.09484803851223564,94.84803851223563
50,25.0,0.0,94.0,0.0,69.0,0.10014648847730688,100.14648847730687
51,25.0,0.0,98.0,0.0,73.0,0.10485673201327739,104.8567320132774
52,25.0,0.0,102.0,0.0,77.0,0.11003348471731877,110.03348471731877
53,25.0,0.0,106.0,0.0,81.0,0.11446138869647143,114.46138869647143
54,25.0,0.0,110.0,0.0,85.0,0.12030246605726198,120.30246605726198
55,25.0,0.0,114.0,0.0,89.0,0.12494394032884724,124.94394032884725
56,25.0,0.0,118.0,0.0,93.0,0.1306589353872173,130.6589353872173
57,45.0,0.0,2.0,0.0,43.0,0.08075106022716143,80.75106022716143
58,45.0,0.0,6.0,0.0,39.0,0.07323933369440222,73.23933369440222
59,45.0,0.0,10.0,0.0,35.0,0.06572760716164303,65.72760716164302
60,45.0,0.0,14.0,0.0,31.0,0.05821588062888382,58.215880628883816
61,45.0,0.0,18.0,0.0,27.0,0.050704154096124616,50.70415409612462
62,45.0,0.0,22.0,0.0,23.0,0.04319242756336542,43.19242756336542
63,45.0,0.0,26.0,0.0,19.0,0.03568070103060621,35.68070103060621
64,45.0,0.0,30.0,0.0,15.0,0.028168974497847003,28.168974497847003
65,45.0,0.0,34.0,0.0,11.0,0.020657247965087805,20.657247965087805
66,45.0,0.0,38.0,0.0,7.0,0.013145521432328604,13.145521432328604
67,45.0,0.0,50.0,0.0,5.0,0.009389658165948998,9.389658165948997
68,45.0,0.0,54.0,0.0,9.0,0.0169013846987082,16.901384698708203
69,45.0,0.0,58.0,0.0,13.0,0.02441311123146741,24.413111231467408
70,45.0,0.0,62.0,0.0,17.0,0.0319248377642266,31.924837764226602
71,45.0,0.0,66.0,0.0,21.0,0.039436564296985804,39.43656429698581
72,45.0,0.0,70.0,0.0,25.0,0.04694829082974502,46.94829082974502
73,45.0,0.0,74.0,0.0,29.0,0.05446001736250422,54.46001736250422
74,45.0,0.0,78.0,0.0,33.0,0.06197174389526342,61.97174389526342
75,45.0,0.0,82.0,0.0,37.0,0.06948347042802262,69.48347042802263
76,45.0,0.0,86.0,0.0,41.0,0.07699519696078182,76.99519696078181
77,45.0,0.0,90.0,0.0,45.0,0.084506923493541,84.506923493541
78,45.0,0.0,94.0,0.0,49.0,0.0920186500263002,92.01865002630021
79,45.0,0.0,98.0,0.0,53.0,0.0995303765590594,99.5303765590594
80,45.0,0.0,102.0,0.0,57.0,0.10704210309181862,107.04210309181862
81,45.0,0.0,106.0,0.0,61.0,0.11455382962457782,114.55382962457782
82,45.0,0.0,110.0,0.0,65.0,0.12206555615733695,122.06555615733696
