pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s
1,5.0,0.0,10.0,0.0,5.0,0.009389658165949,9.389658165949,-1.3599399938659764,8.029718172083022,0.008029718172083023
2,5.0,0.0,14.0,0.0,9.0,0.0169013846987082,16.901384698708213,0.8945360792562351,17.795920777964447,0.017795920777964446
3,5.0,0.0,18.0,0.0,13.0,0.0244131112314674,24.413111231467408,0.3509080817419299,24.76401931320934,0.02476401931320934
4,5.0,0.0,22.0,0.0,17.0,0.0319248377642265,31.924837764226595,1.2170465533083246,33.14188431753492,0.03314188431753492
5,5.0,0.0,26.0,0.0,21.0,0.0394365642969858,39.43656429698581,1.3732218149011186,40.80978611188693,0.04080978611188693
6,5.0,0.0,30.0,0.0,25.0,0.046948290829745,46.948290829745005,-1.1391112477587935,45.809179581986214,0.045809179581986215
7,5.0,0.0,34.0,0.0,29.0,0.0544600173625042,54.46001736250421,-0.08355720239287927,54.37646016011133,0.05437646016011133
8,5.0,0.0,38.0,0.0,33.0,0.0619717438952634,61.9717438952634,1.0567801966696382,63.028524091933036,0.06302852409193303
9,5.0,0.0,42.0,0.0,37.0,0.0694834704280226,69.48347042802263,0.009695688348544045,69.49316611637117,0.06949316611637117
10,5.0,0.0,46.0,0.0,41.0,0.0769951969607818,76.9951969607818,0.2817941819791874,77.27699114276099,0.07727699114276099
11,5.0,0.0,50.0,0.0,45.0,0.084506923493541,84.50692349354102,-1.8508428290401313,82.65608066450089,0.08265608066450089
12,5.0,0.0,54.0,0.0,49.0,0.0920186500263002,92.01865002630022,-0.8031411219540984,91.21550890434612,0.09121550890434613
13,5.0,0.0,58.0,0.0,53.0,0.0983057298676168,98.30572986761686,0.025432220406360024,98.33116208802322,0.09833116208802321
14,5.0,0.0,62.0,0.0,57.0,0.0984725771012463,98.47257710124636,0.7809141534284986,99.25349125467486,0.09925349125467485
15,5.0,0.0,66.0,0.0,61.0,0.096280681586429,96.28068158642908,-0.32078347152987086,95.95989811489922,0.09595989811489922
16,5.0,0.0,70.0,0.0,65.0,0.0959891115443872,95.9891115443872,-0.10651513896456741,95.88259640542263,0.09588259640542263
17,5.0,0.0,74.0,0.0,69.0,0.0984123725576368,98.4123725576368,-0.18249491684323152,98.22987764079357,0.09822987764079358
18,5.0,0.0,78.0,0.0,73.0,0.1014960090393013,101.49600903930138,-0.8224337798546515,100.67357525944674,0.10067357525944673
19,5.0,0.0,82.0,0.0,77.0,0.105883353797107,105.88335379710708,0.5420895432745221,106.4254433403816,0.1064254433403816
20,5.0,0.0,86.0,0.0,81.0,0.1106937866356216,110.6937866356216,-1.3062332431201646,109.38755339250145,0.10938755339250145
21,5.0,0.0,90.0,0.0,85.0,0.1142809788272811,114.28097882728116,-1.2824793052747743,112.99849952200638,0.11299849952200638
22,5.0,0.0,94.0,0.0,89.0,0.1199184515541651,119.91845155416516,0.34051227639202186,120.25896383055718,0.12025896383055718
23,5.0,0.0,98.0,0.0,93.0,0.1246237307626959,124.62373076269596,-1.2858106876270445,123.33792007506891,0.12333792007506891
24,5.0,0.0,102.0,0.0,97.0,0.1305317645959562,130.53176459595628,1.1070560630363604,131.63882065899264,0.13163882065899266
25,5.0,0.0,106.0,0.0,101.0,0.1355157907107249,135.5157907107249,0.26475036284586323,135.78054107357076,0.13578054107357077
26,5.0,0.0,110.0,0.0,105.0,0.1424229103328593,142.42291033285937,1.3348679219284036,143.75777825478778,0.14375777825478778
27,5.0,0.0,114.0,0.0,109.0,0.1473361418229779,147.33614182297796,1.3648279067477036,148.70096972972567,0.14870096972972566
28,5.0,0.0,118.0,0.0,113.0,0.1527965591528584,152.79655915285846,0.05204690221646884,152.84860605507492,0.15284860605507491
29,25.0,0.0,2.0,0.0,23.0,0.0431924275633654,43.19242756336541,-0.4126433111940156,42.779784252171396,0.042779784252171396
30,25.0,0.0,6.0,0.0,19.0,0.0356807010306062,35.6807010306062,1.1860519882830902,36.86675301888929,0.03686675301888929
31,25.0,0.0,10.0,0.0,15.0,0.028168974497847,28.16897449784701,0.5449882842196773,28.713962782066687,0.02871396278206669
32,25.0,0.0,14.0,0.0,11.0,0.0206572479650878,20.657247965087805,0.8650613287868556,21.52230929387466,0.02152230929387466
33,25.0,0.0,18.0,0.0,7.0,0.0131455214323286,13.145521432328604,0.2623910798295395,13.407912512158143,0.013407912512158143
34,25.0,0.0,30.0,0.0,5.0,0.0093896581659489,9.389658165948996,0.15073766411811507,9.54039583006711,0.00954039583006711
35,25.0,0.0,34.0,0.0,9.0,0.0169013846987082,16.901384698708203,-0.6414710688802071,16.259913629827995,0.016259913629827996
36,25.0,0.0,38.0,0.0,13.0,0.0244131112314674,24.413111231467408,-0.2740997586997311,24.139011472767677,0.024139011472767678
37,25.0,0.0,42.0,0.0,17.0,0.0319248377642266,31.9248377642266,0.9473441502280862,32.872181914454686,0.032872181914454686
38,25.0,0.0,46.0,0.0,21.0,0.0394365642969858,39.43656429698581,-0.8856886977855521,38.55087559920025,0.03855087559920025
39,25.0,0.0,50.0,0.0,25.0,0.046948290829745,46.94829082974501,-1.412125029444144,45.53616580030087,0.04553616580030087
40,25.0,0.0,54.0,0.0,29.0,0.0544600173625042,54.46001736250421,2.3347628547587664,56.794780217262975,0.056794780217262975
41,25.0,0.0,58.0,0.0,33.0,0.0619717438952634,61.971743895263415,-0.5230729512508175,61.4486709440126,0.0614486709440126
42,25.0,0.0,62.0,0.0,37.0,0.0694834704280226,69.48347042802264,-0.29846728838399433,69.18500313963865,0.06918500313963866
43,25.0,0.0,66.0,0.0,41.0,0.0760478287655149,76.04782876551491,1.9766910390323003,78.02451980454721,0.07802451980454721
44,25.0,0.0,70.0,0.0,45.0,0.0785669294104918,78.56692941049188,-1.374860836741163,77.19206857375072,0.07719206857375072
45,25.0,0.0,74.0,0.0,49.0,0.0816044268110354,81.60442681103541,-0.3622837958475966,81.2421430151878,0.08124214301518781
46,25.0,0.0,78.0,0.0,53.0,0.0840672240167862,84.06722401678627,-0.6038449965125521,83.46337902027372,0.08346337902027372
47,25.0,0.0,82.0,0.0,57.0,0.0877029407702802,87.7029407702802,-0.8810224722313919,86.8219182980488,0.0868219182980488
48,25.0,0.0,86.0,0.0,61.0,0.091077433572561,91.07743357256108,-0.9823900195710561,90.09504355299002,0.09009504355299001
49,25.0,0.0,90.0,0.0,65.0,0.0948480385122356,94.84803851223565,0.09034553861716758,94.93838405085282,0.09493838405085282
50,25.0,0.0,94.0,0.0,69.0,0.1001464884773068,100.14648847730687,-2.5676457063677365,97.57884277093913,0.09757884277093913
51,25.0,0.0,98.0,0.0,73.0,0.1048567320132773,104.8567320132774,-1.0013770794395405,103.85535493383786,0.10385535493383787
52,25.0,0.0,102.0,0.0,77.0,0.1100334847173187,110.03348471731876,-0.7685863873010284,109.26489833001773,0.10926489833001773
53,25.0,0.0,106.0,0.0,81.0,0.1144613886964714,114.46138869647145,-1.7134705332346727,112.74791816323678,0.11274791816323677
54,25.0,0.0,110.0,0.0,85.0,0.1203024660572619,120.30246605726198,-0.22628679865025597,120.07617925861173,0.12007617925861173
55,25.0,0.0,114.0,0.0,89.0,0.1249439403288472,124.94394032884723,-0.2578010559276608,124.68613927291958,0.12468613927291958
56,25.0,0.0,118.0,0.0,93.0,0.1306589353872173,130.6589353872173,-0.572464296954027,130.08647109026327,0.13008647109026328
57,45.0,0.0,2.0,0.0,43.0,0.0807510602271614,80.75106022716143,1.0653684729049182,81.81642870006635,0.08181642870006635
58,45.0,0.0,6.0,0.0,39.0,0.0732393336944022,73.23933369440222,0.5187330471524327,73.75806674155466,0.07375806674155466
59,45.0,0.0,10.0,0.0,35.0,0.065727607161643,65.72760716164302,-0.5679906828018818,65.15961647884114,0.06515961647884115
60,45.0,0.0,14.0,0.0,31.0,0.0582158806288838,58.215880628883816,-0.6785455271863838,57.53733510169743,0.05753733510169743
61,45.0,0.0,18.0,0.0,27.0,0.0507041540961246,50.70415409612462,0.24022851873994278,50.94438261486456,0.05094438261486456
62,45.0,0.0,22.0,0.0,23.0,0.0431924275633654,43.19242756336542,-0.03601291773486995,43.15641464563055,0.043156414645630546
63,45.0,0.0,26.0,0.0,19.0,0.0356807010306062,35.68070103060621,0.7842381843627461,36.46493921496896,0.036464939214968954
64,45.0,0.0,30.0,0.0,15.0,0.028168974497847,28.168974497847003,-0.24248425426001427,27.92649024358699,0.02792649024358699
65,45.0,0.0,34.0,0.0,11.0,0.0206572479650878,20.657247965087805,-0.6988963314460808,19.958351633641726,0.019958351633641725
66,45.0,0.0,38.0,0.0,7.0,0.0131455214323286,13.145521432328604,0.5612302811082515,13.706751713436855,0.013706751713436854
67,45.0,0.0,50.0,0.0,5.0,0.0093896581659489,9.389658165948996,-0.11336273074510314,9.276295435203892,0.009276295435203892
68,45.0,0.0,54.0,0.0,9.0,0.0169013846987082,16.901384698708203,-1.016412822296519,15.884971876411683,0.015884971876411684
